"spec","site","basin","merged","region","maxl","maxw","maxth","maxstl","maxstw","maxbl","maxshw","size","geo.mean","sh.maxbl","sh.maxw","sh.maxshw","sh.maxth","sh.maxstl","sh.maxstw"
"653","41cp5","Red","north_L","north",27.55,17.05,3.08,6.83,4.6,20.72,12.45,"L",7.96204366267251,0.956413708945687,0.761464495283931,0.447034914465122,-0.949756111460112,-0.153361034862896,-0.548629404950546
"654","41cp5","Red","north_S","north",17.01,10.9,2.35,4.64,3.64,12.37,7.26,"S",7.96204366267251,0.440588477958802,0.314077080789503,-0.09230587960889,-1.22027038028953,-0.539971342207431,-0.782702026796945
"655","41cp5","Red","north_L","north",26.86,13.06,2.5,6.1,3.99,20.76,9.07,"L",7.96204366267251,0.958342349852093,0.49486841540269,0.130286555681451,-1.15839497657144,-0.266396937266329,-0.690894477543823
"656","41cp5","Red","north_L","north",25.79,12.52,2.96,5.43,3.97,20.36,8.55,"L",7.96204366267251,0.938886483236727,0.452641657226358,0.0712455745030738,-0.989496440109626,-0.382746574499751,-0.695919613746496
"657","41cp5","Red","north_L","north",27.36,12.41,3.04,6.56,4.26,20.8,8.15,"L",7.96204366267251,0.960267278261678,0.443816890770921,0.0233322188071767,-0.962828193027464,-0.193695105489597,-0.625416548164316
"659","41cp5","Red","north_L","north",23.1,11.42,2.14,4.74,4.21,18.36,7.21,"L",7.96204366267251,0.83548867674675,0.360680495782269,-0.099216757148737,-1.31387987941183,-0.51864857273861,-0.637223060751305
"660","41cp5","Red","north_S","north",20.23,9.64,1.89,5.7,2.66,14.53,6.98,"S",7.96204366267251,0.601529769136597,0.191235400176859,-0.131636791671313,-1.43810887937404,-0.33421953360509,-1.09635958565199
"661","41cp5","Red","north_S","north",21.73,10.67,2.27,4.91,3.13,16.82,7.54,"S",7.96204366267251,0.747882946099207,0.292750356868067,-0.0544635264257298,-1.25490587695228,-0.483411766639166,-0.933652703893533
"665","41cp12","Red","north_L","north",27.34,15.77,4.1,4.69,4.6,22.65,11.17,"L",7.96204366267251,1.04547414348345,0.683423692529352,0.338545904635514,-0.663698734735333,-0.529253125987407,-0.548629404950546
"677","41cp20","Red","north_S","north",24.72,13.7,2.52,6.98,3.76,17.74,9.94,"S",7.96204366267251,0.801136268435839,0.542710124388484,0.221881312222888,-1.15042680692226,-0.131636791671313,-0.750266751043792
